,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
95,95.0,BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",JUNTOS POR EL CAMBIO,5.67,1.74,37.61,1.06,52.3,1.62,3936,1211,26121,733,36325,1123,81.44,87143,70972,1.3,0.15,0.69,924,110,489,BUENOS AIRES
96,96.0,BUENOS AIRES_PILA,"Pila, Buenos Aires",FRENTE DE TODOS,4.01,1.3,49.91,0.82,43.03,0.93,108,35,1343,22,1158,25,86.47,3237,2799,3.43,0.18,0.25,96,5,7,BUENOS AIRES
98,98.0,BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",JUNTOS POR EL CAMBIO,5.73,2.43,39.91,0.9,49.06,1.97,985,417,6860,155,8433,338,77.46,22767,17636,1.68,0.11,0.74,297,20,131,BUENOS AIRES
100,100.0,BUENOS AIRES_PUAN,"Puan, Buenos Aires",JUNTOS POR EL CAMBIO,5.06,2.34,29.42,0.74,60.8,1.63,565,261,3283,83,6784,182,80.11,14373,11514,2.1,0.29,0.7,242,33,81,BUENOS AIRES
101,101.0,BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",JUNTOS POR EL CAMBIO,4.88,1.78,44.81,1.5,45.83,1.21,360,131,3307,111,3382,89,82.25,9168,7541,1.52,0.13,0.48,115,10,36,BUENOS AIRES
103,103.0,BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",FRENTE DE TODOS,5.27,1.7,50.4,1.09,40.29,1.24,1244,402,11890,258,9503,292,85.42,28300,24174,2.05,0.12,0.25,495,29,61,BUENOS AIRES
104,104.0,BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",FRENTE DE TODOS,4.46,2.19,49.15,0.87,42.16,1.17,469,230,5172,92,4436,123,84.68,12968,10981,3.54,0.33,0.31,389,36,34,BUENOS AIRES
105,105.0,BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",JUNTOS POR EL CAMBIO,5.79,0.97,41.91,0.56,49.29,1.47,655,110,4738,63,5572,166,87.65,13421,11764,3.5,0.22,0.19,412,26,22,BUENOS AIRES
106,106.0,BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",JUNTOS POR EL CAMBIO,5.31,1.65,39.64,0.51,51.4,1.49,846,263,6314,81,8186,237,83.74,19445,16283,1.49,0.18,0.52,243,29,84,BUENOS AIRES
107,107.0,BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",JUNTOS POR EL CAMBIO,3.54,1.35,42.96,0.5,50.43,1.22,297,113,3599,42,4225,102,84.66,10174,8613,2.11,0.27,0.35,182,23,30,BUENOS AIRES
108,108.0,BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",JUNTOS POR EL CAMBIO,4.86,1.71,36.02,1.34,54.39,1.67,672,237,4982,186,7522,231,80.45,17804,14323,2.49,0.1,0.85,356,15,122,BUENOS AIRES
109,109.0,BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",JUNTOS POR EL CAMBIO,4.2,1.18,38.77,0.78,53.9,1.17,905,255,8351,169,11610,251,82.77,26837,22214,2.21,0.16,0.65,492,36,145,BUENOS AIRES
110,110.0,BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",JUNTOS POR EL CAMBIO,3.38,0.97,42.11,0.55,51.64,1.36,191,55,2382,31,2921,77,85.99,7002,6021,5.58,0.37,0.1,336,22,6,BUENOS AIRES
111,111.0,BUENOS AIRES_SALTO,"Salto, Buenos Aires",FRENTE DE TODOS,4.97,2.33,46.01,1.53,43.97,1.19,1093,513,10120,337,9672,262,81.22,27600,22418,1.54,0.1,0.24,346,22,53,BUENOS AIRES
112,112.0,BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",JUNTOS POR EL CAMBIO,5.93,1.55,44.7,1.37,45.14,1.32,928,242,6993,214,7063,206,83.34,19528,16274,3.27,0.29,0.29,532,48,48,BUENOS AIRES
113,113.0,BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",JUNTOS POR EL CAMBIO,4.22,1.69,42.02,1.84,49.32,0.92,706,282,7025,307,8246,154,86.18,19847,17104,1.58,0.19,0.47,270,33,81,BUENOS AIRES
114,114.0,BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",JUNTOS POR EL CAMBIO,4.84,1.09,34.0,0.6,58.25,1.22,275,62,1931,34,3308,69,81.19,7245,5882,2.74,0.26,0.46,161,15,27,BUENOS AIRES
118,118.0,BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",FRENTE DE TODOS,6.99,1.85,47.15,2.27,40.14,1.59,6562,1740,44239,2127,37661,1489,83.73,114681,96027,1.56,0.06,0.68,1494,58,657,BUENOS AIRES
119,119.0,BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",FRENTE DE TODOS,6.38,1.69,44.89,1.41,44.31,1.32,2617,694,18414,579,18178,540,84.02,50024,42028,1.82,0.08,0.5,765,32,209,BUENOS AIRES
