,Unnamed: 0,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
403,402.0,SALTA_ANTA,"Anta, Salta",FRENTE DE TODOS,5.91,0.88,63.57,1.67,27.3,0.68,1906,283,20512,539,8808,220,71.33,45880,32726,0.75,0.08,0.57,245,26,187,SALTA
404,403.0,SALTA_CACHI,"Cachi, Salta",FRENTE DE TODOS,13.34,1.52,53.03,0.87,29.8,1.44,675,77,2684,44,1508,73,75.4,6849,5164,1.12,0.04,0.83,58,2,43,SALTA
405,404.0,SALTA_CAFAYATE,"Cafayate, Salta",FRENTE DE TODOS,9.59,1.69,57.45,2.18,27.45,1.65,954,168,5716,217,2731,164,78.99,12839,10142,0.96,0.13,0.81,97,13,82,SALTA
406,405.0,SALTA_CAPITAL,"Capital, Salta",JUNTOS POR EL CAMBIO,13.37,2.16,35.35,2.41,44.43,2.28,43857,7076,115941,7904,145715,7490,79.02,423573,334704,0.74,0.19,1.08,2488,623,3610,SALTA
407,406.0,SALTA_CERRILLOS,"Cerrillos, Salta",FRENTE DE TODOS,13.47,1.55,43.52,2.01,37.79,1.66,3674,422,11875,549,10311,453,80.92,34233,27703,0.55,0.15,0.81,153,41,225,SALTA
408,407.0,SALTA_CHICOANA,"Chicoana, Salta",FRENTE DE TODOS,12.12,1.59,43.55,1.29,40.22,1.22,1764,232,6341,188,5856,178,81.72,18123,14810,0.7,0.2,0.79,104,30,117,SALTA
409,408.0,SALTA_GENERAL GUEMES,"General Guemes, Salta",FRENTE DE TODOS,9.85,1.79,58.44,1.82,26.51,1.59,2948,536,17499,546,7938,475,78.31,38888,30452,0.61,0.09,0.98,185,28,297,SALTA
410,409.0,SALTA_GUACHIPAS,"Guachipas, Salta",FRENTE DE TODOS,18.59,1.22,42.42,0.9,36.09,0.77,411,27,938,20,798,17,76.11,2963,2255,1.02,0.09,0.84,23,2,19,SALTA
411,410.0,SALTA_IRUYA,"Iruya, Salta",FRENTE DE TODOS,8.02,1.25,77.61,1.25,11.24,0.63,192,30,1858,30,269,15,66.14,3674,2430,0.95,0.21,0.33,23,5,8,SALTA
412,411.0,SALTA_LA CALDERA,"La Caldera, Salta",JUNTOS POR EL CAMBIO,12.06,1.52,34.98,1.86,47.96,1.62,1275,161,3699,197,5072,171,80.93,13275,10744,0.66,0.14,0.77,71,15,83,SALTA
