,Unnamed: 0,id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
104,104,BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",UNION POR LA PATRIA,1.76,5.82,28.8,25.85,37.77,187,619,3061,2748,4015,80.03,14054,11247,5.15,0.22,0.12,579,25,BUENOS AIRES
105,105,BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",LA LIBERTAD AVANZA,1.19,3.89,32.75,33.84,28.33,141,459,3867,3996,3346,85.22,14750,12570,5.77,0.12,0.17,725,15,BUENOS AIRES
106,106,BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",JUNTOS POR EL CAMBIO,1.73,7.04,33.71,29.82,27.69,275,1121,5365,4745,4407,79.42,20993,16672,3.72,0.18,0.65,621,30,BUENOS AIRES
107,107,BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",JUNTOS POR EL CAMBIO,1.48,4.4,34.9,26.58,32.65,132,393,3120,2376,2919,81.94,11448,9381,3.97,0.16,0.58,372,15,BUENOS AIRES
108,108,BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",LA LIBERTAD AVANZA,1.91,6.59,31.57,36.41,23.52,247,850,4072,4697,3034,75.45,18247,13767,5.22,0.11,0.97,719,15,BUENOS AIRES
109,109,BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",LA LIBERTAD AVANZA,1.68,5.08,32.49,32.64,28.11,368,1112,7113,7145,6153,78.65,29207,22971,3.32,0.2,1.19,762,45,BUENOS AIRES
110,110,BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",UNION POR LA PATRIA,1.02,4.35,33.58,26.56,34.49,62,264,2038,1612,2093,81.1,7840,6358,3.93,0.19,0.42,250,12,BUENOS AIRES
111,111,BUENOS AIRES_SALTO,"Salto, Buenos Aires",UNION POR LA PATRIA,2.05,6.37,25.89,32.21,33.49,470,1463,5949,7403,7697,78.11,30385,23735,2.9,0.13,0.14,688,31,BUENOS AIRES
112,112,BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",UNION POR LA PATRIA,1.78,6.03,26.82,30.75,34.62,281,952,4231,4851,5462,79.51,20756,16503,4.21,0.09,0.1,694,15,BUENOS AIRES
113,113,BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",JUNTOS POR EL CAMBIO,2.32,4.36,33.36,28.99,30.98,372,700,5359,4658,4977,79.63,20936,16672,2.82,0.16,0.65,470,27,BUENOS AIRES
114,114,BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",JUNTOS POR EL CAMBIO,1.02,4.93,41.64,28.93,23.48,57,276,2330,1619,1314,78.61,7393,5812,3.11,0.29,0.31,181,17,BUENOS AIRES
118,118,BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",UNION POR LA PATRIA,2.93,5.84,26.97,29.58,34.68,2801,5575,25752,28245,33112,77.7,127826,99325,3.36,0.04,0.47,3336,42,BUENOS AIRES
119,119,BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",UNION POR LA PATRIA,1.81,6.78,24.15,32.22,35.05,742,2784,9916,13229,14392,79.2,54416,43097,3.97,0.23,0.52,1710,98,BUENOS AIRES
121,121,BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",UNION POR LA PATRIA,1.32,2.97,30.82,26.62,38.28,104,234,2430,2099,3018,83.53,9847,8225,3.62,0.12,0.39,298,10,BUENOS AIRES
122,122,BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",JUNTOS POR EL CAMBIO,2.9,7.05,30.23,30.06,29.76,2478,6019,25805,25659,25405,77.17,114728,88532,2.59,0.04,0.95,2296,33,BUENOS AIRES
123,123,BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",UNION POR LA PATRIA,0.81,3.23,33.26,26.46,36.24,53,211,2173,1729,2368,77.49,8892,6890,4.62,0.32,0.23,318,22,BUENOS AIRES
125,125,BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",UNION POR LA PATRIA,0.68,1.69,31.07,27.01,39.55,13,32,590,513,751,84.02,2422,2035,5.75,0.29,0.64,117,6,BUENOS AIRES
126,126,BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",LA LIBERTAD AVANZA,2.23,5.99,27.07,34.91,29.8,246,662,2993,3860,3295,72.27,15825,11437,2.68,0.13,0.52,307,15,BUENOS AIRES
127,127,BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",JUNTOS POR EL CAMBIO,2.06,6.01,32.03,31.28,28.62,618,1799,9594,9368,8571,75.32,41550,31295,3.39,0.14,0.76,1062,44,BUENOS AIRES
128,128,BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",UNION POR LA PATRIA,2.6,6.68,27.64,28.8,34.28,1002,2569,10639,11083,13193,75.38,53473,40306,3.57,0.23,0.72,1437,92,BUENOS AIRES
130,130,BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",UNION POR LA PATRIA,1.44,5.21,29.85,28.48,35.02,72,260,1489,1421,1747,78.36,6844,5363,6.3,0.21,0.47,338,11,BUENOS AIRES
132,132,BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",UNION POR LA PATRIA,2.56,4.68,26.01,29.94,36.81,573,1049,5829,6709,8250,70.9,32669,23161,2.28,0.13,0.83,529,30,BUENOS AIRES
133,133,BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",LA LIBERTAD AVANZA,1.6,4.23,26.48,45.34,22.35,283,749,4692,8034,3961,77.62,25039,19435,7.43,0.49,0.91,1444,96,BUENOS AIRES
206,206,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",LA LIBERTAD AVANZA,1.53,30.4,20.93,31.85,15.29,707,14038,9668,14708,7061,75.35,62570,47144,0.9,0.01,1.13,424,4,CORDOBA
207,207,CORDOBA_CAPITAL,"Capital, Cordoba",LA LIBERTAD AVANZA,1.65,29.52,23.8,32.41,12.63,14031,250854,202260,275445,107327,76.44,1130798,864343,0.79,0.04,0.85,6812,305,CORDOBA
