,Unnamed: 0,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,FRENTE PARA LA VICTORIA_perc,CAMBIEMOS_votos,FRENTE PARA LA VICTORIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
315,311.0,LA PAMPA_MARACO,"Maraco, La Pampa",CAMBIEMOS,53.33,46.67,20805,18210,80.42,50002,40210,1.04,0.04,1.89,419,15,761,LA PAMPA
316,312.0,LA PAMPA_PUELEN,"Puelen, La Pampa",FRENTE PARA LA VICTORIA,47.18,52.82,2646,2962,76.57,7549,5780,0.92,0.05,2.01,53,3,116,LA PAMPA
317,313.0,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",CAMBIEMOS,58.73,41.27,3456,2429,80.67,7446,6007,1.27,0.0,0.77,76,0,46,LA PAMPA
318,314.0,LA PAMPA_RANCUL,"Rancul, La Pampa",CAMBIEMOS,50.19,49.81,3441,3415,77.27,9011,6963,0.8,0.06,0.67,56,4,47,LA PAMPA
319,315.0,LA PAMPA_REALICO,"Realico, La Pampa",CAMBIEMOS,54.08,45.92,6000,5094,80.27,14119,11333,1.07,0.0,1.04,121,0,118,LA PAMPA
320,316.0,LA PAMPA_TOAY,"Toay, La Pampa",FRENTE PARA LA VICTORIA,47.39,52.61,4022,4465,79.63,10874,8659,0.68,0.01,1.29,59,1,112,LA PAMPA
321,317.0,LA PAMPA_TRENEL,"Trenel, La Pampa",FRENTE PARA LA VICTORIA,44.77,55.23,1668,2058,80.57,4705,3791,0.98,0.0,0.74,37,0,28,LA PAMPA
322,318.0,LA PAMPA_UTRACAN,"Utracan, La Pampa",CAMBIEMOS,57.03,42.97,5595,4215,76.22,13158,10029,0.72,0.11,1.36,72,11,136,LA PAMPA
461,457.0,SANTA FE_BELGRANO,"Belgrano, Santa Fe",CAMBIEMOS,66.43,33.57,19711,9963,80.65,37827,30508,2.18,0.0,0.55,666,0,168,SANTA FE
462,458.0,SANTA FE_CASEROS,"Caseros, Santa Fe",CAMBIEMOS,67.24,32.76,37297,18171,80.71,71026,57325,1.89,0.0,1.34,1086,1,770,SANTA FE
